                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.5676,                0.70485,                 1.2145,                0.91992,                      1,                  0.995,                0.46172,                 1.7591,                0.98503,                 1.5576,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.4735,                0.67201,                 1.2358,                0.62984,                      1,                0.84917,                0.43189,                 1.6418,                 0.9471,                  1.559,               0.000812,               0.000812,               0.000812
                     62,                 1.4246,                0.69099,                 1.2698,                 0.4826,                   0.75,                0.57115,                 0.3037,                  1.845,                 1.3555,                 1.5773,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.5423,                0.72766,                 1.1148,                0.49901,                   0.75,                0.63667,                  0.277,                  1.843,                 1.2755,                 1.5651,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.4164,                0.64333,                 1.1743,                      1,                0.47744,                   0.72,                0.34249,                 1.6942,                 1.1559,                 1.5878,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.4791,                0.67854,                 1.2611,                0.59597,                0.73993,                  0.745,                0.35849,                 1.6508,                 1.0869,                 1.5998,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.3081,                0.61672,                 1.0847,                      1,                0.71139,                0.88786,                0.39337,                 1.9035,                0.93552,                 1.6507,               0.000713,               0.000713,               0.000713
                     67,                 1.3521,                0.64225,                 1.1174,                0.78971,                0.94854,                  0.945,                0.38576,                 1.9166,                 0.7776,                 1.7175,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.4373,                 0.6263,                 1.1168,                0.79234,                0.96172,                  0.945,                0.40636,                 1.9034,                0.73891,                 1.7615,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.3374,                0.61649,                 1.1835,                0.77276,                      1,                  0.945,                0.46297,                 1.8708,                0.70194,                 1.6411,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.0932,                0.54052,                0.87035,                0.92179,                      1,                  0.995,                 0.5199,                 1.6794,                0.80742,                 1.4797,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.5725,                0.65268,                 1.1375,                0.79644,                      1,                  0.945,                0.53502,                 1.5357,                0.87883,                 1.3914,               0.000614,               0.000614,               0.000614
                     72,                 1.3581,                 0.6349,                 1.3175,                0.75114,                      1,                  0.945,                0.50333,                 1.4493,                0.84015,                 1.3404,              0.0005942,              0.0005942,              0.0005942
